statename,ccode,leader,begyr,begmo,begday,leaderpos,affiliation,solschange,solsminchinit,solsminchdur,interim,archigosobsid,version
United States of America,2,Wilson,,,,President,Dem,,,0,0,USA-1913,5
United States of America,2,Harding,1921,3,4,President,Rep,1,0,0,0,USA-1921,5
United States of America,2,Coolidge,1923,8,3,President,Rep,0,0,0,0,USA-1923,5
United States of America,2,Hoover,1929,3,4,President,Rep,0,0,0,0,USA-1929,5
United States of America,2,Roosevelt F.,1933,3,4,President,Dem,1,0,0,0,USA-1933,5
United States of America,2,Truman,1945,4,12,President,Dem,0,0,0,0,USA-1945,5
United States of America,2,Eisenhower,1953,1,20,President,Rep,1,0,0,0,USA-1953,5
United States of America,2,Kennedy,1961,1,20,President,Dem,1,0,0,0,USA-1961,5
United States of America,2,Johnson,1963,11,22,President,Dem,0,0,0,0,USA-1963,5
United States of America,2,Nixon,1969,1,20,President,Rep,1,0,0,0,USA-1969,5
United States of America,2,Ford,1974,8,9,President,Rep,0,0,0,0,USA-1974,5
United States of America,2,Carter,1977,1,20,President,Dem,1,0,0,0,USA-1977,5
United States of America,2,Reagan,1981,1,20,President,Rep,1,0,0,0,USA-1981,5
United States of America,2,Bush G.,1989,1,20,President,Rep,0,0,0,0,USA-1989,5
United States of America,2,Clinton,1993,1,20,President,Dem,1,0,0,0,USA-1993,5
United States of America,2,George Walker Bush,2001,1,21,President,Rep,1,0,0,0,USA-2001,5
United States of America,2,Barack Hussein Obama,2009,1,20,President,Dem,1,0,0,0,USA-2009,5
United States of America,2,Donald John Trump,2017,1,20,President,Rep,1,0,0,0,,5
Canada,20,Borden,,,,PM,CP,,,0,0,CAN-1911,5
Canada,20,Meighen,1920,7,10,PM,CP,0,0,0,0,CAN-1920,5
Canada,20,King,1921,12,29,PM,LP,1,0,0,0,CAN-1921,5
Canada,20,Meighen,1926,6,29,PM,CP,1,0,0,0,CAN-1926-1,5
Canada,20,King,1926,9,25,PM,LP,1,0,0,0,CAN-1926-2,5
Canada,20,Bennett,1930,8,7,PM,CP,1,0,0,0,CAN-1930,5
Canada,20,King,1935,10,23,PM,LP,1,0,0,0,CAN-1935,5
Canada,20,St. Laurent,1948,11,15,PM,LP,0,0,0,0,CAN-1948,5
Canada,20,Diefenbaker,1957,6,21,PM,PC,1,0,0,0,CAN-1957,5
Canada,20,Pearson,1963,4,22,PM,LP,1,0,0,0,CAN-1963,5
Canada,20,Trudeau,1968,4,20,PM,LP,0,0,0,0,CAN-1968,5
Canada,20,Clark,1979,6,4,PM,PC,1,0,0,0,CAN-1979,5
Canada,20,Trudeau,1980,3,3,PM,LP,1,0,0,0,CAN-1980,5
Canada,20,Turner,1984,6,30,PM,LP,0,0,0,0,CAN-1984-1,5
Canada,20,Mulroney,1984,9,17,PM,PC,1,0,0,0,CAN-1984-2,5
Canada,20,Kim Campbell,1993,6,25,PM,PC,0,0,0,0,CAN-1993-1,5
Canada,20,Chretien,1993,11,4,PM,LP,1,0,0,0,CAN-1993-2,5
Canada,20,Martin,2003,12,12,PM,LP,0,0,0,0,CAN-2003,5
Canada,20,Stephen Joseph Harper,2006,2,6,PM,CPC,1,0,0,0,CAN-2006,5
Canada,20,Justin Pierre James Trudeau,2015,11,4,PM,LP,1,0,0,0,CAN-2015,5
Cuba,40,Garcia Menocal,,,,President,PC,,,0,0,CUB-1913,5
Cuba,40,Zayas y Alfonso,1921,5,20,President,PPC-LN,0,0,0,0,CUB-1921,5
Cuba,40,Machado Morales,1925,5,20,President,PL,1,0,0,0,CUB-1925,5
Cuba,40,de Cespedes,1933,8,12,President,ABC,0,0,0,1,CUB-1933-1,5
Cuba,40,Grau San Martin,1933,9,10,President,PRC,0,0,0,1,CUB-1933-2,5
Cuba,40,Hevia,1934,1,15,President,PRC,0,0,0,1,CUB-1934-1,5
Cuba,40,Mendieta,1934,1,18,President,UN,1,0,0,0,CUB-1934-2,5
Cuba,40,Barnet,1935,12,12,President,UN,0,0,0,0,CUB-1935,5
Cuba,40,Gomez y Arias,1936,5,20,President,UN,0,0,0,0,CUB-1936-1,5
Cuba,40,Laredo Bru,1936,12,28,President,UN,0,0,0,0,CUB-1936-2,5
Cuba,40,Batista,1940,10,10,President,CSD,0,0,0,0,CUB-1940,5
Cuba,40,Grau San Martin,1944,10,10,President,PRC-A,1,0,0,0,CUB-1944,5
Cuba,40,Prio Socarras,1948,10,10,President,PRC-A,0,0,0,0,CUB-1948,5
Cuba,40,Batista,1952,3,10,President,Mil/PAU/PAP,1,0,0,0,CUB-1952,5
Cuba,40,F. Castro,1959,1,2,"Premier, President of the Council of State","PCC/MR-26-7/ORI/PURSC, PCC",1,0,0,0,CUB-1959,5
